name,mood,description,latitude,longitude,vehicle,rating,opening_hours
Pulchoki Mountain,Adventure,Popular adventure tourist destination in Nepal.,27.5708,85.40691,Walk/Taxi/Car,4.5,24 Hours
Muktināth Temple,Spiritual,Popular spiritual tourist destination in Nepal.,28.81696,83.87175,Walk/Taxi/Car,4.5,24 Hours
Langtang National Park,Calm,Popular calm tourist destination in Nepal.,28.04399,85.44692,Walk/Taxi/Car,4.5,24 Hours
Baudhanāth Stupa,Spiritual,Popular spiritual tourist destination in Nepal.,27.71667,85.36667,Walk/Taxi/Car,4.5,24 Hours
Park Village Resort,Calm,Popular calm tourist destination in Nepal.,27.797,85.379,Walk/Taxi/Car,4.5,24 Hours
Kantipur Temple House,Spiritual,Popular spiritual tourist destination in Nepal.,27.7057,85.3152,Walk/Taxi/Car,4.5,24 Hours
Annapurna Basecamp,Adventure,Popular adventure tourist destination in Nepal.,28.52949,83.8765,Walk/Taxi/Car,4.5,24 Hours
Machapuchare Basecamp,Adventure,Popular adventure tourist destination in Nepal.,28.52632,83.90894,Walk/Taxi/Car,4.5,24 Hours
Poon Hill,Calm,Popular calm tourist destination in Nepal.,28.39903,83.68896,Walk/Taxi/Car,4.5,24 Hours
Royal Bardia National Park,Calm,Popular calm tourist destination in Nepal.,28.3649,81.5596,Walk/Taxi/Car,4.5,24 Hours
Tenzing-Hillary Airport,Calm,Popular calm tourist destination in Nepal.,27.6869,86.7297,Walk/Taxi/Car,4.5,24 Hours
Mountain Airport,Adventure,Popular adventure tourist destination in Nepal.,28,85.333,Walk/Taxi/Car,4.5,24 Hours
ThillaYaduwa,Calm,Popular calm tourist destination in Nepal.,26.78763,86.10228,Walk/Taxi/Car,4.5,24 Hours
ThillaYaduwa1,Calm,Popular calm tourist destination in Nepal.,26.7908,86.0985,Walk/Taxi/Car,4.5,24 Hours
ThillaYaduwa2,Calm,Popular calm tourist destination in Nepal.,26.7916,86.1041,Walk/Taxi/Car,4.5,24 Hours
ThillaYaduwa3,Calm,Popular calm tourist destination in Nepal.,26.79097,86.11397,Walk/Taxi/Car,4.5,24 Hours
ThillaYaduwa4,Calm,Popular calm tourist destination in Nepal.,26.7873,86.1121,Walk/Taxi/Car,4.5,24 Hours
ThillaYaduwa5,Calm,Popular calm tourist destination in Nepal.,26.7857,86.107,Walk/Taxi/Car,4.5,24 Hours
ThillaYaduwa6,Calm,Popular calm tourist destination in Nepal.,26.7838,86.1031,Walk/Taxi/Car,4.5,24 Hours
ThillaYaduwa7,Calm,Popular calm tourist destination in Nepal.,26.7849,86.0986,Walk/Taxi/Car,4.5,24 Hours
ThillaYaduwa8,Calm,Popular calm tourist destination in Nepal.,26.7849,86.093,Walk/Taxi/Car,4.5,24 Hours
ThillaYaduwa9,Calm,Popular calm tourist destination in Nepal.,26.7896,86.0942,Walk/Taxi/Car,4.5,24 Hours
"Darlamdanda-5, Mathillo Koldanda",Calm,Popular calm tourist destination in Nepal.,27.91,83.6101,Walk/Taxi/Car,4.5,24 Hours
Lakeside,Calm,Popular calm tourist destination in Nepal.,28.21111,83.95898,Walk/Taxi/Car,4.5,24 Hours
Mathillo Pangdur,Calm,Popular calm tourist destination in Nepal.,27.43059,87.06982,Walk/Taxi/Car,4.5,24 Hours
Parkuwa,Calm,Popular calm tourist destination in Nepal.,26.92034,87.10808,Walk/Taxi/Car,4.5,24 Hours
Mathillo Turban,Calm,Popular calm tourist destination in Nepal.,29.14569,81.46,Walk/Taxi/Car,4.5,24 Hours
Khartamchha Mathillotol,Calm,Popular calm tourist destination in Nepal.,27.35464,87.05703,Walk/Taxi/Car,4.5,24 Hours
Mathillo Harka,Calm,Popular calm tourist destination in Nepal.,27.04426,87.13087,Walk/Taxi/Car,4.5,24 Hours
Barmelicamp,Adventure,Popular adventure tourist destination in Nepal.,27.69732,84.44433,Walk/Taxi/Car,4.5,24 Hours
Chitrekot,Adventure,Popular adventure tourist destination in Nepal.,27.62143,84.62585,Walk/Taxi/Car,4.5,24 Hours
Hurdimathillo,Calm,Popular calm tourist destination in Nepal.,27.81936,84.59945,Walk/Taxi/Car,4.5,24 Hours
Parkhal,Calm,Popular calm tourist destination in Nepal.,27.67829,84.76725,Walk/Taxi/Car,4.5,24 Hours
Mathillodobato,Calm,Popular calm tourist destination in Nepal.,27.65883,84.55087,Walk/Taxi/Car,4.5,24 Hours
Temple Tiger,Spiritual,Popular spiritual tourist destination in Nepal.,27.53751,84.0817,Walk/Taxi/Car,4.5,24 Hours
Parkot,Calm,Popular calm tourist destination in Nepal.,29.36592,80.48834,Walk/Taxi/Car,4.5,24 Hours
Mathillo Kaphali,Calm,Popular calm tourist destination in Nepal.,29.20834,80.57277,Walk/Taxi/Car,4.5,24 Hours
Mathillo Debari,Calm,Popular calm tourist destination in Nepal.,29.0842,80.32153,Walk/Taxi/Car,4.5,24 Hours
Mathillo Khajurani,Calm,Popular calm tourist destination in Nepal.,29.12718,80.39454,Walk/Taxi/Car,4.5,24 Hours
Kaparkot,Calm,Popular calm tourist destination in Nepal.,29.28836,80.73171,Walk/Taxi/Car,4.5,24 Hours
Mathillo Dunggeswar,Calm,Popular calm tourist destination in Nepal.,28.76229,81.66607,Walk/Taxi/Car,4.5,24 Hours
Khaparkot,Calm,Popular calm tourist destination in Nepal.,29.11587,81.42253,Walk/Taxi/Car,4.5,24 Hours
Phaparkot,Calm,Popular calm tourist destination in Nepal.,29.13395,81.43438,Walk/Taxi/Car,4.5,24 Hours
Manthillo Gairigaun,Calm,Popular calm tourist destination in Nepal.,29.03199,81.56941,Walk/Taxi/Car,4.5,24 Hours
Mathillo Lakuri,Calm,Popular calm tourist destination in Nepal.,28.78352,81.72924,Walk/Taxi/Car,4.5,24 Hours
Mathillo Bijaure,Calm,Popular calm tourist destination in Nepal.,28.85687,81.73544,Walk/Taxi/Car,4.5,24 Hours
Mathillo Tartang,Calm,Popular calm tourist destination in Nepal.,28.82978,81.71962,Walk/Taxi/Car,4.5,24 Hours
Mathillo Nauli,Calm,Popular calm tourist destination in Nepal.,28.88843,81.80521,Walk/Taxi/Car,4.5,24 Hours
Mathillo Adguri,Calm,Popular calm tourist destination in Nepal.,27.93917,83.17208,Walk/Taxi/Car,4.5,24 Hours
Mathillo Majuwa,Calm,Popular calm tourist destination in Nepal.,28.20749,82.21331,Walk/Taxi/Car,4.5,24 Hours
Campus,Adventure,Popular adventure tourist destination in Nepal.,28.11809,82.34024,Walk/Taxi/Car,4.5,24 Hours
Chillikot,Calm,Popular calm tourist destination in Nepal.,28.15437,82.40149,Walk/Taxi/Car,4.5,24 Hours
Chhillikot,Calm,Popular calm tourist destination in Nepal.,28.15102,82.40706,Walk/Taxi/Car,4.5,24 Hours
Chaparke,Calm,Popular calm tourist destination in Nepal.,28.00547,82.34897,Walk/Taxi/Car,4.5,24 Hours
Mathillo Satkhara,Calm,Popular calm tourist destination in Nepal.,28.12539,82.46959,Walk/Taxi/Car,4.5,24 Hours
Mathillo kalamghari,Calm,Popular calm tourist destination in Nepal.,28.08946,82.46671,Walk/Taxi/Car,4.5,24 Hours
Mathillo Lamdaruwa,Calm,Popular calm tourist destination in Nepal.,28.06086,82.4356,Walk/Taxi/Car,4.5,24 Hours
Mathillo Ganeshpur,Calm,Popular calm tourist destination in Nepal.,28.09392,82.41497,Walk/Taxi/Car,4.5,24 Hours
Campus,Adventure,Popular adventure tourist destination in Nepal.,28.09436,82.36264,Walk/Taxi/Car,4.5,24 Hours
Mathillo Gajamari,Calm,Popular calm tourist destination in Nepal.,27.91952,82.13038,Walk/Taxi/Car,4.5,24 Hours
Mathillo Manaura,Calm,Popular calm tourist destination in Nepal.,27.91952,82.10727,Walk/Taxi/Car,4.5,24 Hours
Mathillo Lape,Calm,Popular calm tourist destination in Nepal.,28.10155,82.5015,Walk/Taxi/Car,4.5,24 Hours
Tribhuwan Park,Calm,Popular calm tourist destination in Nepal.,28.04742,82.4875,Walk/Taxi/Car,4.5,24 Hours
Mathillo Lape,Calm,Popular calm tourist destination in Nepal.,28.10148,82.49649,Walk/Taxi/Car,4.5,24 Hours
Mathillo Nampa,Calm,Popular calm tourist destination in Nepal.,30.08361,80.92294,Walk/Taxi/Car,4.5,24 Hours
Khillurai,Calm,Popular calm tourist destination in Nepal.,28.04441,83.0598,Walk/Taxi/Car,4.5,24 Hours
Tallo Khillu,Calm,Popular calm tourist destination in Nepal.,28.03852,83.06184,Walk/Taxi/Car,4.5,24 Hours
Phalamkhilli,Calm,Popular calm tourist destination in Nepal.,28.01273,83.03089,Walk/Taxi/Car,4.5,24 Hours
Mathillo Marphul,Calm,Popular calm tourist destination in Nepal.,29.82464,80.93294,Walk/Taxi/Car,4.5,24 Hours
Mathillo Rampur,Calm,Popular calm tourist destination in Nepal.,27.9631,84.78234,Walk/Taxi/Car,4.5,24 Hours
Mathillo Dhusa,Calm,Popular calm tourist destination in Nepal.,27.78216,84.75963,Walk/Taxi/Car,4.5,24 Hours
Mathillo Mulabari,Calm,Popular calm tourist destination in Nepal.,28.04911,84.88099,Walk/Taxi/Car,4.5,24 Hours
Pokhara Mathillo,Calm,Popular calm tourist destination in Nepal.,28.06166,84.85809,Walk/Taxi/Car,4.5,24 Hours
Mathillo Bajar,Calm,Popular calm tourist destination in Nepal.,27.91079,84.90701,Walk/Taxi/Car,4.5,24 Hours
Mathillo Gauthale,Calm,Popular calm tourist destination in Nepal.,27.82595,84.83928,Walk/Taxi/Car,4.5,24 Hours
Mathillo Amdanda,Calm,Popular calm tourist destination in Nepal.,26.89961,87.49362,Walk/Taxi/Car,4.5,24 Hours
Mathillo Sipting,Calm,Popular calm tourist destination in Nepal.,27.00617,87.33635,Walk/Taxi/Car,4.5,24 Hours
Mathillo Kopche,Calm,Popular calm tourist destination in Nepal.,26.98041,87.35061,Walk/Taxi/Car,4.5,24 Hours
Mathillo Phawa,Calm,Popular calm tourist destination in Nepal.,27.07168,87.2722,Walk/Taxi/Car,4.5,24 Hours
Mathillo Giddhe,Calm,Popular calm tourist destination in Nepal.,26.88743,87.45753,Walk/Taxi/Car,4.5,24 Hours
Mathillo Sanne,Calm,Popular calm tourist destination in Nepal.,27.07711,87.30764,Walk/Taxi/Car,4.5,24 Hours
Mathillo Okhre,Calm,Popular calm tourist destination in Nepal.,27.05522,87.31584,Walk/Taxi/Car,4.5,24 Hours
Mathillo Dhansari,Calm,Popular calm tourist destination in Nepal.,26.9188,86.25006,Walk/Taxi/Car,4.5,24 Hours
Thilla,Calm,Popular calm tourist destination in Nepal.,26.78843,86.10081,Walk/Taxi/Car,4.5,24 Hours
Mathillo Duma,Calm,Popular calm tourist destination in Nepal.,27.5359,86.03851,Walk/Taxi/Car,4.5,24 Hours
Mathillo Mati,Calm,Popular calm tourist destination in Nepal.,27.65364,86.05547,Walk/Taxi/Car,4.5,24 Hours
Mathillo Sikrigaun,Calm,Popular calm tourist destination in Nepal.,27.62488,86.21024,Walk/Taxi/Car,4.5,24 Hours
Mathillo Sikri,Calm,Popular calm tourist destination in Nepal.,27.63046,86.20453,Walk/Taxi/Car,4.5,24 Hours
Chillikher,Calm,Popular calm tourist destination in Nepal.,29.11171,82.52622,Walk/Taxi/Car,4.5,24 Hours
Mathillo Sirkholi,Calm,Popular calm tourist destination in Nepal.,29.27373,80.90589,Walk/Taxi/Car,4.5,24 Hours
Mathillo Uditola,Calm,Popular calm tourist destination in Nepal.,29.28412,81.00373,Walk/Taxi/Car,4.5,24 Hours
Khillek,Calm,Popular calm tourist destination in Nepal.,29.16071,80.98011,Walk/Taxi/Car,4.5,24 Hours
Mathillo Gaguda,Calm,Popular calm tourist destination in Nepal.,29.14018,81.03025,Walk/Taxi/Car,4.5,24 Hours
Mathillo Sani Khaigad,Calm,Popular calm tourist destination in Nepal.,29.15857,80.63942,Walk/Taxi/Car,4.5,24 Hours
Uparkanda,Calm,Popular calm tourist destination in Nepal.,29.28069,81.10357,Walk/Taxi/Car,4.5,24 Hours
Mathillo Chalis,Calm,Popular calm tourist destination in Nepal.,29.0323,81.05473,Walk/Taxi/Car,4.5,24 Hours
Mathillo Alyadi,Calm,Popular calm tourist destination in Nepal.,29.151,80.74371,Walk/Taxi/Car,4.5,24 Hours
Uparkot,Calm,Popular calm tourist destination in Nepal.,29.13398,80.71322,Walk/Taxi/Car,4.5,24 Hours
Mathillo Majhigaun,Calm,Popular calm tourist destination in Nepal.,27.96075,84.45175,Walk/Taxi/Car,4.5,24 Hours
MathilloGankhu,Calm,Popular calm tourist destination in Nepal.,28.06272,84.61445,Walk/Taxi/Car,4.5,24 Hours
MathilloKatrok,Calm,Popular calm tourist destination in Nepal.,27.79384,84.82662,Walk/Taxi/Car,4.5,24 Hours
Mathillo Barbang,Calm,Popular calm tourist destination in Nepal.,27.80644,84.80346,Walk/Taxi/Car,4.5,24 Hours
